"id","name","latitude","longitude"
"ARqjTlyvbEIJ_vTcjYRH6","OWENSMOUTH  AT  MINNEHAHA ST","34.25959881685691","-118.60169563299425"
"pAvqvPupnrhxGrtk_Q7m7","FLORENCE  AV  AT  AVALON  BL","33.97472969895303","-118.26736009492527"
"jcg55Q7K8ZW5VpkKuiXkF","92ND  ST  E/O  FALMOUTH  AV","33.95293193396632","-118.4318393298694"
"UA2i_zuWUr88OJlEIr0bE","79TH  ST  AT  OSAGE  AV","33.96624197877195","-118.3787231045052"
"NuQRNPvTY_RTO3-wuAO0p","SLAUSON  AV  AT  ANGELES VISTA BL","33.98889377248027","-118.35004916742848"
"qlErcwWaJwI3T5sPxRoc7","24TH  ST  AT  GRIFFITH  AV","34.02241573219599","-118.25833113038192"
"UhFZByamI6xguAp3ioGQU","OLYMPIC  BL  AT  LA  CIENEGA  BL","34.0594945558995","-118.37578959890183"
"fvcGmnY_-nbXJKsNJOu_x","WETHERLY DR AT WHITWORTH DR","34.057092503887446","-118.38881793849323"
"-MaU-ECfuGSNZembdxyP0","CREST  DR  AT  PICKFORD  ST","34.05245445994677","-118.38746997452226"
"SWwFL18sPbeCBV_J2Rmrj","WILTON  PL  AT  SAN  MARINO  ST","34.05585448377068","-118.31425981126563"
"jhQPwCTiWuMFVX_hk4okf","QUEEN ANNE PL  AT 12th ST","34.051606554014924","-118.33137735530072"
"Fnc6N-y2pc-clwudACrcI","WEST  BL  N/O  SLAUSON  AV","33.98898265222169","-118.33519701007134"
"EXnwgPYumGoEATCE9rT_H","ASCOT AV AT 55th ST","33.99301868703834","-118.24993916333307"
"Ejzwo4GtG2thx0GryRiQN","NEPTUNE  AV  AT  SANDISON  ST","33.7908250068709","-118.26970718579541"
"hD7pOZF-8W1icAEnKHqM3","DON ST AT FRIGATE AV","33.79776118993936","-118.27527607464005"
"kenLetxfIPKLJqSIqgfMi","BEVERLY GLEN  BL  AT  WILSHIRE  BL","34.06883112016246","-118.43009545034197"
"FWpll7JuNTqBgpCoplCLz","BROADWAY  N/O  SLAUSON  AV","33.98917120712863","-118.27829981575078"
